######################################################################
                        ALTERNATIVES GENERATED
######################################################################
+------+-------+-------+--------+-------+-------+-------+------------+
|  i   |   k1  |   k2  |   k3   |   e1  |   e2  |   e3  | worse_than |
+------+-------+-------+--------+-------+-------+-------+------------+
|  0   | 7.156 | 0.903 | 27.411 | 0.298 | 0.033 |  0.81 |    None    |
|  1   | 5.635 | 0.906 | 30.858 | 0.906 | 0.067 | 0.658 |    None    |
|  2   | 6.346 | 0.932 | 23.55  | 0.622 | 0.356 |  0.98 |    None    |
|  3   | 6.587 |  0.93 | 43.619 | 0.525 | 0.333 | 0.096 |    None    |
|  4   | 6.559 | 0.953 | 40.12  | 0.536 | 0.589 |  0.25 |    None    |
|  5   | 6.826 | 0.907 | 41.533 |  0.43 | 0.078 | 0.188 |    None    |
|  6   | 6.075 | 0.918 | 42.148 |  0.73 |  0.2  | 0.161 |    None    |
|  7   | 5.957 | 0.917 | 24.098 | 0.777 | 0.189 | 0.956 |    None    |
|  8   | 7.325 | 0.942 | 28.595 |  0.23 | 0.467 | 0.758 |    None    |
|  9   | 6.756 | 0.933 | 43.812 | 0.458 | 0.367 | 0.088 |    None    |
|  10  | 6.915 | 0.907 | 38.578 | 0.394 | 0.078 | 0.318 |    None    |
|  11  | 7.852 | 0.908 | 41.116 | 0.019 | 0.089 | 0.206 |    None    |
|  12  | 7.873 | 0.933 | 25.855 | 0.011 | 0.367 | 0.879 |    None    |
|  13  | 5.694 | 0.957 | 40.553 | 0.882 | 0.633 | 0.231 |    None    |
|  14  | 6.991 |  0.98 | 41.003 | 0.364 | 0.889 | 0.211 |    None    |
|  15  | 7.504 | 0.981 | 43.74  | 0.158 |  0.9  | 0.091 |    None    |
|  16  | 6.395 | 0.922 | 24.966 | 0.602 | 0.244 | 0.918 |    None    |
|  17  | 7.444 | 0.981 | 26.356 | 0.182 |  0.9  | 0.857 |    None    |
|  18  | 6.292 |  0.99 | 29.848 | 0.643 |  1.0  | 0.703 |    None    |
|  19  | 6.884 | 0.902 | 36.125 | 0.406 | 0.022 | 0.426 |    None    |
|  20  | 7.827 | 0.917 | 33.159 | 0.029 | 0.189 | 0.557 |    None    |
|  21  |  7.05 | 0.952 | 43.665 |  0.34 | 0.578 | 0.094 |    None    |
|  22  | 5.731 | 0.958 | 35.544 | 0.868 | 0.644 | 0.452 |    None    |
|  23  | 5.554 | 0.952 | 31.708 | 0.938 | 0.578 | 0.621 |    None    |
|  24  | 5.892 |  0.9  | 29.153 | 0.803 |  0.0  | 0.733 |    None    |
|  25  | 7.153 | 0.946 | 26.438 | 0.299 | 0.511 | 0.853 |    None    |
|  26  | 6.465 | 0.925 | 26.846 | 0.574 | 0.278 | 0.835 |    None    |
|  27  | 5.428 | 0.911 | 33.084 | 0.989 | 0.122 |  0.56 |    None    |
|  28  | 6.946 | 0.932 | 42.678 | 0.382 | 0.356 | 0.138 |    None    |
|  29  | 7.527 |  0.94 | 43.204 | 0.149 | 0.444 | 0.114 |    None    |
|  30  | 5.976 | 0.985 | 30.271 |  0.77 | 0.944 | 0.684 |    None    |
|  31  | 6.553 | 0.982 | 27.745 | 0.539 | 0.911 | 0.795 |    None    |
|  32  | 5.745 | 0.957 | 41.899 | 0.862 | 0.633 | 0.172 |    None    |
|  33  | 7.009 |  0.94 | 41.242 | 0.356 | 0.444 | 0.201 |    None    |
|  34  | 5.843 | 0.984 | 41.054 | 0.823 | 0.933 | 0.209 |    None    |
|  35  | 6.364 | 0.968 | 34.999 | 0.614 | 0.756 | 0.476 |    None    |
|  36  | 7.597 | 0.973 | 34.514 | 0.121 | 0.811 | 0.497 |    None    |
|  37  | 5.761 | 0.908 | 35.27  | 0.856 | 0.089 | 0.464 |    None    |
|  38  | 7.441 | 0.903 | 29.243 | 0.184 | 0.033 | 0.729 |    None    |
|  39  | 7.399 | 0.937 | 36.561 |  0.2  | 0.411 | 0.407 |    None    |
|  40  | 5.631 | 0.943 | 25.481 | 0.908 | 0.478 | 0.895 |    None    |
|  41  | 5.875 | 0.986 | 40.494 |  0.81 | 0.956 | 0.234 |    None    |
|  42  | 7.561 | 0.961 | 28.302 | 0.136 | 0.678 | 0.771 |    None    |
|  43  |  6.02 | 0.954 | 24.921 | 0.752 |  0.6  |  0.92 |    None    |
|  44  | 5.731 |  0.91 | 27.318 | 0.868 | 0.111 | 0.814 |    None    |
|  45  | 7.153 |  0.9  | 27.772 | 0.299 |  0.0  | 0.794 |    None    |
|  46  | 6.273 | 0.937 | 42.785 | 0.651 | 0.411 | 0.133 |    None    |
|  47  | 5.457 | 0.937 | 45.477 | 0.977 | 0.411 | 0.014 |    None    |
|  48  | 7.679 | 0.982 | 40.823 | 0.088 | 0.911 | 0.219 |    None    |
|  49  | 6.351 | 0.954 | 36.612 |  0.62 |  0.6  | 0.405 |    None    |
